title,abstract,publish
"A high density and insensitive fused [1,2,3]triazolo-pyrimidine energetic material","A novel fused triazolo-pyrimidine energetic compound was synthesized by the two-step diazotization-nitrification method or one-step direct nitration reaction. The physical properties and detonation properties of intermediate 3H-[1,2,3]triazolo[4,5-d]pyrimidine-5,7-diamine (2) and N-(7-oxo-6,7-dihydro-2H-[1,2,3]triazolo[4,5d]pyrimidin-5-yl)nitramide (3) were further explored. Compound 2 has a higher decomposition temperature (368 degrees C) than that of 2,4,6-trinitrotoluene (TNT, 295 degrees C). X-ray crystal-structure analysis shows that the density of compound 3 was 1.97 g cm(-3) at 100 K. Not only the detonation performance of compound 3 (8845 m s(-1), 32.54 GPa) was predicted to approach RDX (8795 m s(-1), 34.9 GPa) but displays significantly good safety properties (36 J), which means that compound 3 may serve as a potential high energy insensitivity material (HEIM).",2021
Energy Release Characteristics of Ni-Al-CuO Ternary Energetic Structural Material Processed by Cold Spraying,"Ternary energetic structural material (ESM) Ni-Al-CuO was prepared by cold spraying, and its mechanical properties studied under quasi-static-state and dynamic compression conditions. Energy release characteristics including the ignition temperature, energy release, and combustion wave velocity were characterized in both the thermal explosion and self-propagating combustion modes. The results reveal that the yield stress of Ni-Al-CuO is 50 MPa higher than that of Ni-Al. The initial reaction temperature was found to be 450 degrees C, much lower than the temperature of the reaction between Al and CuO and corresponding to the reaction of Ni and Al. In addition, more energy was released by Ni-Al-CuO ESM (859.2 J/g) than by Ni-Al (735.4 J/g). The combustion wave velocity of the Ni-Al-CuO coating was about 90 mm/s. Self-propagating combustion of Ni-Al-CuO proceeded via a multistage reaction, during which the Al-CuO reaction was triggered by the Ni-Al reaction. Graphic",2020
Experimental observation of the heat transfer mechanisms that drive propagation in additively manufactured energetic materials,"The rise of additive manufacturing has led to the development of new architectures and allowed researchers to 3D-print a variety of energetic composites with different formulations. However, reactive sintering within the composites can negatively impact overall performance of nanoenergetic or reactive materials via the loss of nanostructure. It has been previously proposed that the addition of a gas generator could reduce the impact of reactive sintering while enhancing reactivity. Iodine pentoxide (I2O5) is an extremely powerful oxidizer and a strong gas generator which has been proposed as an efficient source of molecular iodine for biocidal applications. However, fabricated Al/I2O5 nanocomposite propellants are unable to propagate. In this study, we demonstrate that the addition of small quantities of CuO enables consistent propagation. Employing high-speed pyrometry and microscopy, we estimate advective heat transfer in the system and demonstrate that the addition of CuO offers a pathway for enhanced energy-transfer by metal condensation that is not available when I2O5 is the sole oxidizer. Elimination of condensing metal vapor as a participant in energy transfer increased the reliance of the system on particle advection. Small additions of CuO yield a condensable product vapor which can effectively eliminate the reliance on heat transfer via advection, enabling consistent propagation in reactive solid materials. We conclude with a general comment that where reliable propagation is critical, such as a stable burn of a solid propellant or delivery of a biocide, small additions of an oxidizer with a condensable metal vapor could be the difference between guaranteed performance and critical failure. (C) 2020 The Combustion Institute. Published by Elsevier Inc. All rights reserved.",2020
Examination of Local Microscale-Microsecond Temperature Rise in HMX-HTPB Energetic Material Under Impact Loading,This work presents direct measurements of the temperature distribution during impact loading of cyclo-tetra-methylene-tetra-nitramine-hydroxyl terminated polybutadiene material at the mesoscale with sub-microsecond/micrometer resolution. The focus is on analyzing the effect of impact loading on microstructure-dependent material behavior. The temperature distribution is shown to be strongly correlated to the local material microstructure with the interface and particle shape playing a key role.,2019
"Theoretical investigation on heats of formation, detonation properties and sensitivities of TANPy based energetic materials","A series of 2,4,6-triamino-3,5-dinitropyridine (TANPy) based energetic compounds were designed and optimized at the B3LYP/6-311G (d,p). The results show that all the designed compounds have high positive heats of formation, and the tetrazole ring/-N3 was an beneficial combination to increase the heats of formation. The introduction of furazan-furazan/-C(NO2)3/-CH(NO2)2 combination was effective to improve the densities and detonation properties while the furazan-furazan or furazan-tetrazine rings was beneficial to improving the values of heats of detonation. Considering the detonation properties and sensitivities, compounds D2, E2, F2 were finally screened as potential high energy density materials and their physicochemical properties were fully investigated.",2024
Process Research of Solution-Enhanced Dispersion by Supercritical Fluids to Prepare Energetic Material Nano-Capsules,"Nano-capsule energetic materials can improve the mechanical properties, combustion/explosion properties, and component compatibility of solid propellants and reduce their toxicity, water absorption capacity, and sensitivity. The following approaches have been performed to obtain nano-capsule energetic materials. First, the structure of solution-enhanced dispersion by supercritical fluids (SEDS) core device (nozzle and hanging basket) were modified to improve the atomization performance, eliminate the vortex, and avoid the repeated growth of crystals. The ultrafine RDX particles with average particle size of 705 nm and distribution range of 400-1200 nm were prepared by using the improved devices. Second, the optimal process parameters for the preparation of ultrafine RDX by SEDS were obtained. Reducing the solution concentration or the supercritical CO2 temperature will be beneficial to obtain dry RDX particles with smaller particle sizes. When the solution concentration ratio was 10 g (RDX)/100 mL (DMF), the temperature of supercritical CO2 was 35 degrees C, and the flow rate ratio of supercritical CO2 to solution was greater than 10 (kg/h): 2 (ml/min), the experiment results were good. Third, to facilitate the detection of shell elements, fluororubber (F-26) and RDX were used as raw materials to prepare nano-capsules. Transmission electron microscopy image showed that the RDX-F-26 particles featured a core-shell structure with diameters that ranged between 200 nm and 300 nm, spherical shape, and uniform wall thickness. The X-ray photoelectron spectroscopy showed that the core was RDX, the shell was F-26, and the thickness of the shell was 14.6 nm. As the capsule wall material, the F-26 also inhibited the overgrowth of RDX crystal in the course of crystallization successfully. Sensitivity analysis showed that the RDX-F-26 nano-capsules had lower impact and friction sensitivities than the refined RDX. These results show that the use of improved SEDS process is suitable for the preparation of energetic material microcapsules.",2021
Energetic Multifunctionalized Nitraminopyrazoles and Their Ionic Derivatives: Ternary Hydrogen-Bond Induced High Energy Density Materials,"Diverse functionalization was introduced into the pyrazole framework giving rise to a new family of ternary hydrogen-bond induced high energy density materials. By incorporating extended cationic interactions, nitramine-based ionic derivatives exhibit good energetic performance and enhanced molecular stability. Performance parameters including heats of formation and detonation properties were calculated by using Gaussian 03 and EXPLO5 v6.01 programs, respectively. It is noteworthy to find that 5-nitramino-3,4-dinitropyrazole, 4, has a remarkable measured density of 1.97 g cm(-3) at 298 K, which is consistent with its crystal density (2.032 g cm(-3), 150 K), and ranks highest among azole-based CHNO compounds. Energetic evaluation indicates that, in addition to the molecular compound 4, some ionic derivatives, 9, 11, 12, 17, 19, and 22, also have high densities (1.83-1.97 g cm(-3)), excellent detonation pressures and velocities (P, 35.6-41.6 GPa; vD, 8880-9430 m s(-1)), as well as acceptable impact and friction sensitivities (IS, 4-30 J; FS, 40-240 N). These attractive features highlight the application potential of nitramino hydrogen-bonded interactions in the design of advanced energetic materials.",2015
Toward Addressing the Challenge to Predict the Heat Capacities of RDX and HMX Energetic Materials,"Availability of heat capacity as a function of pressure and temperature is an essential prerequisite for development of a computational multiscale strategy capable to address the evolution of microstructure and energy release in advanced high energy density materials. In the case of 1,3,5-trinitro-1,3,5-triazinane (RDX) and 1,3,5,7-tetranitro-1,3,5,7-tetrazocane (HMX) systems as two of the most studied energetic materials, there are substantial gaps in experimental data, with available heat capacities values distributed only in a region close to standard ambient conditions. In this study we demonstrate how these major experimental limitations can be addressed in the case of the RDX and HMX systems based on the combined use of classical and quantum mechanical calculations. We show that by considering ideal gas properties evaluated using quantum mechanical methods, and residual properties obtained from molecular simulations using fully flexible atomistic force field models, excellent agreement can be obtained for the predicted heat capacities to the most recent experimental values. An important advantage of the current computational methodology is that it allows evaluation of both constant-volume and constant-pressure heat capacities for a broad interval of temperatures and pressures, which encompasses solid and liquid phases conditions. In the case of the solid alpha and gamma phases of RDX and the beta phase of HMX, the predicted results follow closely both the available experimental data at standard ambient conditions and the results obtained using density functional theory calculations at high pressures, a regime where experimental data are not available. A perspective to expand the current methodology is also discussed.",2022
Energetic Materials Based on ,"The regularities and synthetic potentialities of the alkylation of 4(5)-nitro-1,2,3-triazole in basic media were explored, and new energetic ionic and nitrotriazole-based coordination compounds were synthesized in this study. The reaction had a general nature and ended with the formation of N1-, N2-, and N3-alkylation products, regardless of the conditions and reagent nature (alkyl- or aryl halides, alkyl nitrates, dialkyl sulfates). This reaction offers broad opportunities for expanding the variability of substituents on the nitrotriazole ring in the series of primary and secondary aliphatic, alicyclic, and aromatic substituents, which is undoubtedly crucial for solving the problems related to both high-energy materials development and medicinal chemistry when searching for new efficient bioactive compounds. An efficient methodology for the separation of regioisomeric N-alkyl(aryl)nitrotriazoles has been devised and relies on the difference in their basicity and reactivity during quaternization and complexation reactions. Based on the inaccessible N3-substitution products that exhibit a combination of properties of practical importance, a series of energy-rich ionic systems and coordination compounds were synthesized that are gaining ever-increasing interest for the chemistry of energy-efficient materials, coordination chemistry, and chemistry of ionic liquids.",2022
Bonding analysis of the effect of strain on trigger bonds in organic-cage energetic materials,"Wiberg bond index and natural bond orbital analyses were used to examine the effect of strain on trigger bonds for a series of organic-cage molecules. In substituted cage hydrocarbons, weakening of the interior C-C bonds and strengthening of exterior C-X bonds are explained in terms of the contributions of the carbon 2s and 2p atomic orbitals to the bonds. The interior C-C, rather than C-NO2, bonds are expected to break to initiate explosive decomposition in nitro-substituted tetrahedranes, prismanes, and cubanes. Activation of C-C bonds in cage molecules increases with nitro substitution, but persubstituted cages are not necessarily the most activated. For example, heptanitrocubane is predicted to be more sensitive than octanitrocubane, consistent with experimental studies. In contrast, for a series of hypothetical nitroester substituted prismanes, the strengthening of the exterior C-ONO2 bond weakens the O-NO2 bond more than the interior C-C bonds. In CL-20 and TEX, cage strain as determined by WBI analysis in the fused five- and six-membered rings is less significant than for the cage hydrocarbon. In these known energetic materials, the N-NO2 trigger bonds are activated by the orientation of the nitro groups.",2020
Desensitization of the dinitromethyl group: molecular/crystalline factors that affect the sensitivities of energetic materials,"The dinitromethyl group has attracted considerable attention because of its high nitrogen and oxygen content, positive oxygen balance and high energy. Although most dinitromethyl-functionalized compounds suffer from sensitivity to mechanical stimuli, a series of 3-dinitromethanide-1,2,4-triazolone-based energetic salts have now been synthesized and fully characterized. Of these, the ammonium salt is insensitive to impact and friction. X-ray single crystal analysis shows that the ammonium moiety arranges through a close layer-by-layer assembly, which is helpful in decreasing sensitivity. In addition, intramolecular hydrogen-bonding interactions, and intense - interactions also are stabilizing factors which impact the sensitivity of the ammonium salt. The enthalpies of formation and energetic properties of the series of salts were determined in order to reach the conclusion that these multiple stabilization factors are effective tools in decreasing the sensitivity of dinitromethyl-based energetic materials.",2018
3D-Cube Layer Stacking: A Promising Strategy for High-Performance Insensitive Energetic Materials,"It is desirable to consider the molecular design and crystal configuration in the research of energetic materials. We discovered an interesting layer stacking crystal configuration, which is different from previous 2D-plane layer stacking, and termed it as ""3D-cube layer stacking"". This new configuration, resulting from the unusual U-shaped molecular structures and vast H-bonding interactions, breaks through the limitations of the planar molecular structures in 2D-plane layer stacking. Compound 4, which features such characteristics, exhibits excellent energetic performance (D: 9043 m s(-1);p: 35.6 GPa) and acceptable sensitivities (IS: 16 J; FS: 180 N). These positive results, indicate that 3D-cube layer stacking may open new avenues for the design of energetic materials.",2017
Calculations of bond dissociation energies and dipole moments in energetic materials using density-functional methods,"We compare the effectiveness of six exchange/correlation functional combinations (Becke/Lee, Yang and Parr; Becke-3/Lee, Yang and Parr; Becke/Perdew-Wang 91; Becke-3/Perdew-Wang 91; Becke/Perdew 86; Becke-3/Perdew 86) for computing C-N, O-O and N-NO2 dissociation energies and dipole moments of five compounds. The studied compounds are hexabydro-1,3,5-trinitro-1,3,5-triazine (RDX), dimethylnitramine, cyanogen, nitromethane and ozone. The Becke-3/Perdew 86 in conjunction with 6-31G** is found to give the best results, although for the dipole moments of RDX, there is a slightly difference that B3P86/6-31G** is less reliable than B3P86/6-31+G**. (C) 2007 Elsevier B.V. All rights reserved.",2007
"Synthesis of benzotriazolo[1,2-A]benzotriazole derivatives as new high density, insensitive energetic materials","The synthesis of the new high density energetic compound 4,8-dinitro-12H-[1,2,5]oxadiazolo[3,4-e][1,2,5]oxadiazolo[3',4':4,5]benzotriazolo[1,2-a]benzotriazol-13-ium inner salt 1,11-dioxide (7) was achieved in three steps (37% yield) from 2,4,8,10-tetranitrobenzotriazolo[1,2-a]benzotriazolo-6-ium inner salt(4). The compound 7 was found to be thermally stable up to 274 degrees C and was insensitive to impact (hammer/anvil test).",1996
The continuous chemical reaction threshold bond for determining the triggering of energetic materials under pressure,"This article tries to find a method to judge the trigger bond from the sensitivity of energy materials (EMs). The results show that the bandgap judgment cannot be used to determine the trigger bond. At the same time, we find that the rate and magnitude of energy changes can be used to identify the trigger bond of EMs. Finally, we discuss the so-called trigger bond. It is not necessarily the first break, but it is the most critical key to cause the initiation of EMs. We name it as the continuous chemical reaction threshold bond.",2023
Tubular flame synthesis of alumina particles: Effect of the addition of energetic materials to precursors,"Fine particle synthesis using tubular flame combustion allows efficient use of combustion energy and highly accurate control of particle morphology and composition by temperature and gas concentration. In this study, we investigated the addition of energetic materials to precursors to improve the heating efficiency and increase the specific surface area of alumina particles in tubular flames. The addition of ammonium nitrate (AN) to the precursor resulted in irregular particles with flake-like or concave surfaces. The particles were deformed by the large amount of gas generated by the decomposition and combustion of AN in the flame field. Furthermore, the addition of urea to the precursor increased heat generation and the percentage of the high-temperature alpha-alumina phase. The gas adsorption results showed that the specific surface area of fine alumina particles prepared with the addition of energetic materials increased up to 2.6 times compared to that obtained without energetic materials (118 m2,g-1).",2023
"Synthesis of high-performance insensitive energetic materials based on nitropyrazole and 1,2,4-triazole","A new family of symmetric (4-nitro-1H-pyrazole-3,5-diyl)bis(1H-1,2,4-triazole)-based derivatives were obtained. All these new compounds were characterized by (H-1, C-13)NMR spectroscopy, infrared spectroscopy, elemental analysis and differential scanning calorimetry (DSC). The structures of 5,5 '-(4-nitro-1H-pyrazole-3,5-diyl)bis(3-nitro-1H-1,2,4-triazole) (6) and N,N '-((4-nitro-1H-pyrazole-3,5-diyl)bis(1H-1,2,4-triazole-5,3-diyl))dinitramide (7) were further confirmed by single crystal X-ray diffraction. In addition, the theoretical calculations by using the Gaussian 09 package show that target compounds have high heats of formation ranging from 1.40 to 2.84 kJ g(-1). Among them, the safety and detonation performances of 6 (D: 8747 m s(-1), P: 33.0 GPa, T-d: 238.2 degrees C, IS: 30 J) and energetic salts dihydroxylammonium((4-nitro-1H-pyrazole-3,5-diyl)bis(1H-1,2,4-triazole-5,3-diyl))bis(nitroamide) (9) (D: 9077 m s(-1), P: 33.6 GPa, IS: >40 J) and dihydrazinium((4-nitro-1H-pyrazole-3,5-diyl)bis(1H-1,2,4-triazole-5,3-diyl))bis(nitroamide) (10) (D: 8759 m s(-1), P: 30.2 GPa, IS: >40 J) are comparable to those of 1,3,5-trinitroperhydro-1,3,5-triazine (RDX: D = 8795 m s(-1), P = 34.9 GPa, T-d = 210 degrees C, IS: 7.4 J) due to the positive effect of ternary hydrogen bonds.",2019
Non-ideal behaviour of ammonium nitrate based high-energetic materials in small diameter steel tube,"The size effect curve for non-ideal behavior is the relationship between the detonation velocity and the inverse radius of the cylindrical charge. In this paper we discuss the size effect curves obtained by a steel tube test for an ammonium nitrate (AN)-based explosive. The results for AN and mixtures of AN and activated carbon (AC) are examined. The composition of AN/AC and the charge diameter are varied from 0.1 to 20 wt% and from 5.7 to 65.9 mm, respectively, and their effect on the detonation velocity is investigated using curved-front theory. The size effect curve for pure AN has a point of inflection, and the curve can be expressed as two straight lines. Finally, the size effect curves for AN/AC mixtures are constructed and formulated for almost the entire experimental region.",2013
Probing soft materials with energetic ions and molecules: from microscopic models to the real world,"After introducing a typical example of the performance of C-60 clusters for the molecular depth-profiling analysis of (bio-)organic samples by secondary ion mass spectrometry (SIMS), this contribution reviews a few areas in which microscopic models using molecular dynamics (MD) simulations provide a better understanding and predictions in the field of organic sample sputtering. The topics considered discuss about structural effects in crystalline hydrocarbons, the sputtering of hybrid metal-organic surfaces and the influence of the cluster projectile size on molecular desorption and fragmentation. The next section of the article presents experimental studies using real-world samples taken from technological applications in materials science to illustrate some of the strengths and weaknesses of molecular analysis and imaging of organic and biological samples by SIMS. Connections with the results of the simulations are pointed out when it is deemed appropriate. Copyright (C) 2010 John Wiley & Sons, Ltd.",2010
"Chemical bonding and intermolecular interactions in energetic materials: 1,3,4-trinitro-7,8-diazapentalene","The electron density and related properties of the red-colored energetic material 1,3,4-trinitro-7,8-diazapentalene ( space group Pca2(1)) have been determined from a low-temperature [90.0 (1) K] X-ray diffraction experiment. Intensity data were measured with a 2 K CCD Bruker diffractometer using Ag K alpha radiation. One detector setting, several phi settings, 0.15 degrees w scans and 96 s exposure time per frame gave R-int = 0.0188 for 31 952 (10 283 unique) reflections and (sin theta/lambda)(max) = 1.15 angstrom(-1). The electron density was modeled using the Hansen-Coppens [(1978), Acta Cryst. A34, 909-921] multipole model and refined to R = 0.026 for 9455 unique observed reflections. The electron density, Laplacian and electrostatic potential distributions are reported and discussed. The properties of the bond (3, -1) critical points are analyzed. All results are indicative of multiple bonds in the five-membered rings. In addition, a significant number of weak intermolecular interactions (O...H, O...O, O...N, O...C) have also been characterized by the properties of their critical points. A comparison of experimental results with those obtained from theoretical calculations ( periodic, CRYSTAL98; single molecule, GAUSSIAN98) is also reported.",2007
"High-Pressure Studies of Hydrogen-Bonded Energetic Material 3,6-Dihydrazino-","Hydrogen bonding is an important non-covalent interaction that plays a key role in most of the CHNO-based energetic materials, which has a great impact on the structural, stability, and vibrational properties. By analyzing the structural changes, IR spectra, and the Hirshfeld surfaces, we investigated the high-pressure behavior of 3,6-dihydrazino-s-tetrazine (DHT) to provide detailed description of hydrogen bonding interactions using dispersion-corrected density functional theory. The strengthening of hydrogen bonding is observed by the pressure-induced weakening of covalent N-H bonds, which is consistent with the red shift of NH/NH2 stretching vibrational modes. The intermolecular interactions in DHT crystals lead to more compact and stable structures that can increase the density but diminish the heat of detonation, Q. The calculated detonation properties of DHT (D = 7.62 km/s, P = 25.19 GPa) are slightly smaller than those of a similar explosive 3,6-bis-nitroguanyl-1,2,4,5-tetrazine (D = 7.9 km/s, P = 27.36 GPa). Overall, the crystallographic and spectroscopic results along with Hirshfeld surface analysis as a function of pressure reveal the presence of strong hydrogen bonding networks in the crystal structure of DHT.",2018
"Computational Studies on Nitro, Nitramino, and Dinitramino Derivatives of 1-Aminoazadiboridine as High Energetic Material","Computational studies were performed to determine the thermodynamic and explosive characteristics of high energy materials formed by placing explosophores such as nitro (-NO2), nitramino (-NHNO2), and dinitramino (-N(NO2)(2)) groups on 1-aminoazadiboridine. G3 level calculations were made to determine the gas phase heat of formation of the designed species. In addition to the above, condensed phase heat of formation was also determined by evaluating the sublimation enthalpy. Crystal densities of title compounds were predicted with the help of a wave function analysis (WFA) program and were found to be in the range of 1.55-1.83gcm(-3). Bond dissociation energies of various possible bond rupture routes of the designed molecules were calculated at DFT-B3LYP/6-311G(d,p) level and attempt was made to identify the trigger linkage. Impact sensitivity was evaluated theoretically by employing a method based on statistical parameters determined from electrostatic potential data. Results show that the designed molecules are highly energetic and their corresponding detonation properties place them in the category of safe and high performance explosive materials.",2016
"An investigation into 'green' energetic materials, by the synthesis of novel main group coordination compounds","This thesis describes an investigation into the coordination chemistry of main group elements. The synthesis, properties and reactivity of several novel complexes are discussed. The complexes are of silicon, germanium and phosphorus. They are either neutral/Lewis base adducts or isolated as salts. The syntheses of starting materials and the novel compounds are described. Various spectroscopic techniques are used to characterize the compounds including infrared and Raman spectroscopy and 1 H, 13 C, 14 N, 29 Si and 73 Ge NMR spectroscopy. These techniques are also used to study the dissociation behaviour of the complexes in solution. The structures of selected compounds are determined using X-ray crystallography. Differential scanning calorimetry is used to study the thermal properties of the complexes rich in nitrogen, to evaluate their potential high energy density materials. The results obtained by this study are compared and contrasted to similar existing compounds in the literature.",2014
"Computational studies on nitramino derivatives of 1-amino-1,2-azaboriridine as high energetic material","In this study, we have applied computational methods to determine the thermodynamic and explosive characteristics of nitramino derivatives of 1-amino-1,2-azaboriridine. Mono-, di- and tri-nitramino derivatives have been designed and considered for detailed study. Structure optimization and frequency calculation of the species have been performed at DFT-B3LYP/6-311++G(d,p) level of theory. The atomization method is employed to calculate the heat of formation (HOF), using electronic energy data calculated at G3 level. Utilizing the WFA program, crystal densities of designed compounds considered during the present study were predicted using the data obtained at B3PW91/6-31G(d, p) level. Results show that the number of nitramino groups influences the heat of formation of the title compounds. The calculated bond dissociation energies suggest that the N-NO2 bond of the nitramino group is the weakest bond and may be treated as a trigger bond involved in the detonation process. The impact sensitivities (h(50)) of all the compounds were evaluated and it was found that the designed compound 1-amino-2,3,3-trinitramino-1,2-azaboriridine is highly insensitive towards impact. Theoretical estimate of the condensed phase density of nitramino derivatives was found to be in the range of 1.60-1.80 g cm(-3). Detonation velocity (D) and the detonation pressure (P) were found to be 8.0-9.0 km s(-1) and 26.2-35.2 GPa, respectively. The present investigation reveals that one of the designed compounds 1-amino-2,3,3-trinitramino-1,2-azaboriridine meets the criteria for high energy density materials.",2014
Tuning the synthesis of a dinitroaromatic towards a new trinitroaromatic stabilized energetic material,"A new isomer of diaminotrinitrobenzene, 3, has been prepared from 1,2-diaminobenzene under high dilution conditions in which the two NH(2) electron-donating groups increase the thermal stability of the 1,2,3-trinitrobenzene backbone. Its thermal decomposition only begins around 230 degreesC and deflagration occurs at 298 degreesC, which is of interest for heat-resistant explosives. The crystal structure of the known 1,2-diamino-4,5-dinitrobenzene, 4, which has been obtained in place of 3 under different dilution conditions, is also reported and reveals interesting van der Waals and intermolecular N-H...O-N hydrogen-bonding interactions.",2005
Effect of the Temperature on the Magnetic and Energetic Properties of Soft Magnetic Composite Materials,"In recent years, innovative magnetic materials have been introduced in the field of electrical machines. In the ambit of soft magnetic materials, laminated steels guarantee good robustness and high magnetic performance but, in some high-frequency applications, can be replaced by Soft Magnetic Composite (SMC) materials. SMC materials allow us to reduce the eddy currents and to design innovative 3D magnetic circuits. In general, SMCs are characterized at room temperature, but as electrical machines operate at high temperature (around 100 degrees C), an investigation analysis of the temperature effect has been carried out on these materials; in particular, three SMC samples with different binder percentages and process parameters have been considered for magnetic and energetic characterization.",2021
Sensitivity of energetic materials: Evidence of thermodynamic factor on a large array of CHNOFCl compounds,"Mechanical and thermal hazards are critical for chemical compounds. Foremost, the design of novel energetic materials that are stable, insensitive, but have a detonation performance superior to in-service materials is of great interest. However, a single source of safety data for hazardous materials with explosophoric functionalities is still missing. Herein, an experimental database on thermal stability, impact, and friction sensitivity for 150 CHNOFCl compounds is presented. Mechanical sensitivity is discussed in detail: particle size and shape effects, instrument design, and experimental protocol are considered. The entire dataset was analyzed using the simple descriptors of molecular structure. Mechanical sensitivity was found to be linearly correlated with the maximal heat of explosion for certain classes of compounds (nitrobenzenes, furazans, pyrazoles, etc.). Consideration of all species shows that previously proposed sensitivity increase with an energy content rise is relevant, although it is not strict line, as was assumed, but rather a widened ""strip"". A new parameter, safety factor, is proposed to combine two types of sensitivity data. With this factor, the limiting values of mechanical sensitivity at a given energy content are provided that represent the state-of-art development of energetic materials and may be used for screening and design of novel compounds.",2021
"Polymorphic Transition in Traditional Energetic Materials: Influencing Factors and Effects on Structure, Property, and Performance","Polymorphism is universal in energetic materials, and polymorphic transformation (PT) causes variations in the structure, properties, and performance. This article reviews the polymorphs of six traditional energetic compounds (ECs), including 2,4,6-trinitrotoluene (TNT), pentaerythritol tetranitrate (PETN), 1,3,5-trinitro-1,3,5-triazinane (RDX), 1,3,5,7-tetranitro-1,3,5,7-tetrazocane (HMX), 2,4,6,8,10,12-hexanitro-2,4,6,8,10,12-hexaazaisowurtzitane (CL-20), and 2,2-dinitroethylene-1,1-diamine (FOX-7), and the PT-induced variations of molecular and packing structures and energies, crystal morphology, sensitivity and detonation performance, and defects, as well as factors influencing the PT and strategies for controlling PT. In all of the polymorphs determined experimentally, there is a small difference in molecular volume, whereas a large difference can appear in molecular conformation, intermolecular distance, packing pattern, crystal density, sensitivity, and detonation performance. Moreover, in addition to temperature and pressure, crystal quality and additive can seriously affect the PT. In addition, recrystallization, coatings, and addition of additives are available to control the PT. Finally, some issues are raised, such as the determination of new polymorphs at high temperature and high pressure, clarifying the PT boundary and mechanism, considering polymorphs at extremes in understanding an EC, and paying attention to the PT of newly thriving energetic cocrystals and energetic ionic salts.",2020
Thermal expansion of energetic material TEX obtained from x-ray diffraction and first principles calculations,"X-ray powder diffraction studies on the secondary explosive TEX (C6H6N4O8) in the temperature range 25-150 degrees C are reported. TEX has a triclinic structure (a = 6.850 angstrom, b = 7.665 angstrom, c = 8.826 angstrom, alpha = 82.38 degrees, beta= 75.0 degrees, and gamma = 79.30 degrees at 25 degrees C), space group P (1) over bar. The crystal structure remains triclinic in this temperature range. From the temperature dependence of lattice parameters we find that thermal expansion is different along different directions. The volume thermal expansion coefficient 17.4 x 10(-5) K--(1) is comparable to that of a related material, CL-20. Thermal expansion along the c-direction alpha(c) is 2.2 times alpha(s) and 3 times alpha(b). Phonon frequencies of TEX crystal at different pressures are obtained from density functional theory (DFT) calculations using CASTEP codes. The volume thermal expansion coefficient calculated using Gruneisen formalism is 6.1 x 10(-5) K--(1). This is the first report on the experimental determination of thermal expansion of TEX, and computation by Gruneisen formalism using DFT. (C) 2019 Elsevier B.V. All rights reserved.",2019
Cooperative enhancement of the nonlinear optical response in conjugated energetic materials: A TD-DFT study,"Conjugated energetic molecules (CEMs) are a class of explosives with high nitrogen content that posses both enhanced safety and energetic performance properties and are ideal for direct optical initiation. As isolated molecules, they absorb within the range of conventional lasers. Crystalline CEMs are used in practice, however, and their properties can differ due to intermolecular interaction. Herein, time-dependent density functional theory was used to investigate one-photon absorption (OPA) and two-photon absorption (TPA) of monomers and dimers obtained from experimentally determined crystal structures of CEMs. OPA scales linearly with the number of chromophore units, while TPA scales nonlinearly, where a more than 3-fold enhancement in peak intensity, per chromophore unit, is calculated. Cooperative enhancement depends on electronic delocalization spanning both chromophore units. An increase in sensitivity to nonlinear laser initiation makes these materials suitable for practical use. This is the first study predicting a cooperative enhancement of the nonlinear optical response in energetic materials composed of relatively small molecules. The proposed model quantum chemistry is validated by comparison to crystal structure geometries and the optical absorption of these materials dissolved in solution. Published by AIP Publishing.",2017
"Approaches to 1,4-Disubstituted Cubane Derivatives as Energetic Materials: Design, Theoretical Studies and Synthesis","Novel 1,4-disubstituted cubane derivatives have been designed and selected ones have been successfully synthesized and characterized by various analytical and spectroscopic techniques, including single-crystal X-ray analysis. A detailed computational study at B3LYP/6-311++G(d,p) level of theory revealed that all newly designed 1,4-disubstituted cubane derivatives possess higher densities, higher density-specific impulse and superior ballistic properties when compared to conventional fuels, for example, RP-1. These compounds also exhibit acceptable kinetic and thermodynamic stabilities which were evaluated in terms of their HOMO-LUMO energy gap and bond dissociation energies, respectively, and are superior to TEX and many other compounds containing explosophoric groups. These results provide novel insights into the possible application of cubane-based energetic materials.",2022
A suitable computer code for prediction of sublimation energy and deflagration temperature of energetic materials,"This paper reviews some recent developments for prediction of sublimation energy and deflagration temperature of energetic materials, which are important for the assessment of hazardous properties of these types of compounds. A novel user-friendly computer code, written in Visual Basic, is introduced to predict sublimation energy and deflagration temperature of energetic materials through using only their molecular structure parameters. It can be used for different types of energetic compounds including nitroaliphatics, nitroaromatics, nitramines and nitrate esters. The predicted results were compared with experimental data for some new energetic compounds of different classes containing complex molecular structures, which confirm high reliability of this novel computer code.",2015
